campanha,data,semana,investimento,cliques,visualizacoes,leads,fechamentos,receita_gerada
Conversao,2024-01-01,1,50.00,120,1500,8,2,600.00
Conversao,2024-01-02,1,55.00,135,1620,9,2,600.00
Conversao,2024-01-03,1,48.00,110,1480,7,1,300.00
Conversao,2024-01-04,1,52.00,125,1550,8,2,600.00
Conversao,2024-01-05,1,60.00,140,1700,10,3,900.00
Conversao,2024-01-06,1,45.00,100,1400,6,1,300.00
Conversao,2024-01-07,1,58.00,130,1600,9,2,600.00
Conversao,2024-01-08,2,62.00,145,1750,11,3,900.00
Conversao,2024-01-09,2,57.00,128,1580,9,2,600.00
Conversao,2024-01-10,2,53.00,118,1520,8,2,600.00
Conversao,2024-01-11,2,65.00,150,1800,12,3,900.00
Conversao,2024-01-12,2,60.00,138,1670,10,2,600.00
Conversao,2024-01-13,2,55.00,122,1540,8,1,300.00
Conversao,2024-01-14,2,70.00,160,1900,13,4,1200.00
Trafego,2024-01-01,1,40.00,400,5000,3,0,0.00
Trafego,2024-01-02,1,38.00,380,4800,2,0,0.00
Trafego,2024-01-03,1,42.00,420,5200,3,0,0.00
Trafego,2024-01-04,1,35.00,350,4500,2,0,0.00
Trafego,2024-01-05,1,45.00,450,5500,4,0,0.00
Trafego,2024-01-06,1,33.00,330,4200,2,0,0.00
Trafego,2024-01-07,1,40.00,400,5000,3,0,0.00
Trafego,2024-01-08,2,43.00,430,5300,3,0,0.00
Trafego,2024-01-09,2,38.00,385,4850,2,0,0.00
Trafego,2024-01-10,2,41.00,410,5100,3,0,0.00
Trafego,2024-01-11,2,46.00,460,5600,4,1,300.00
Trafego,2024-01-12,2,39.00,390,4900,3,0,0.00
Trafego,2024-01-13,2,37.00,370,4700,2,0,0.00
Trafego,2024-01-14,2,44.00,440,5400,3,0,0.00
Remarketing,2024-01-01,1,30.00,80,800,6,3,900.00
Remarketing,2024-01-02,1,28.00,75,750,5,2,600.00
Remarketing,2024-01-03,1,32.00,85,850,7,3,900.00
Remarketing,2024-01-04,1,27.00,70,700,5,2,600.00
Remarketing,2024-01-05,1,35.00,90,900,8,4,1200.00
Remarketing,2024-01-06,1,25.00,65,650,4,2,600.00
Remarketing,2024-01-07,1,30.00,80,800,6,3,900.00
Remarketing,2024-01-08,2,33.00,88,880,7,3,900.00
Remarketing,2024-01-09,2,29.00,77,770,6,2,600.00
Remarketing,2024-01-10,2,31.00,82,820,6,3,900.00
Remarketing,2024-01-11,2,36.00,92,920,8,4,1200.00
Remarketing,2024-01-12,2,30.00,80,800,6,3,900.00
Remarketing,2024-01-13,2,28.00,74,740,5,2,600.00
Remarketing,2024-01-14,2,34.00,89,890,7,4,1200.00
